Contig A,Contig B,Interaction Score
MBO5520212.1,MBQ6680592.1,0.521914346212518
ASV60182.1,MBR6907536.1,0.5214817513262447
MBO4296191.1,MBO5520212.1,0.5213906787186083
MBO5520212.1,MBQ7535020.1,0.5212882220350175
MBP1530666.1,MBP3802246.1,0.5210491564399717
MBR4618697.1,MBR1821073.1,0.5207987067689714
MBR0464215.1,MBQ9824173.1,0.5206393297056077
MBQ9048695.1,MBR3007466.1,0.5205254889460622
MBR1821073.1,MBR5378808.1,0.5200473577559709
MBR2529166.1,MBO5520212.1,0.5197969080849707
MBR2829755.1,MBQ9048695.1,0.5196147628696978
MBR2529166.1,MBQ9824173.1,0.5195692265658796
MBR6907536.1,MBD5156460.1,0.5195009221101522
MBR3404888.1,AAL09332.1,0.5194553858063341
MBR1821073.1,MBQ4187915.1,0.5192732405910612
MBR3404888.1,MBQ6564140.1,0.518817877552879
WP_086488123.1,AAL09332.1,0.5184763552742423
MBO5544287.1,EAO76197.1,0.5182486737551513
MBO6269818.1,WP_074650843.1,0.5179299196284237
MBO5520212.1,MBR0464215.1,0.5176567018055144
WP_087353315.1,AAL09332.1,0.5173379476787868
MBR3404888.1,MBR3007466.1,0.5169736572482411
MBR2829755.1,MBQ4399209.1,0.5168598164886956
MBR1513057.1,MBR3007466.1,0.5167004394253318
MBR2829755.1,MBO7618333.1,0.5165865986657863
XP_005855606.1,MBR1821073.1,0.5162223082352405
MBP1530666.1,CDW80025.1,0.5160173948680585
MBO5520212.1,MBP3836974.1,0.5158352496527856
XP_016974417.1,AAL09332.1,0.5155392636779673
MBR6907536.1,CDW77704.1,0.5151749732474215
MBR2829755.1,MBR2596575.1,0.513831652284784
MBQ9824173.1,MBR4710820.1,0.5130803032717834
MBD5156460.1,QNM08892.1,0.5125794039297831
MBO5520212.1,MBQ2588515.1,0.5125110994740557
MBQ6564140.1,CDW77704.1,0.5122151134992372
MBR5910679.1,EAO76197.1,0.5119874319801461
MBO6269818.1,MBP1530666.1,0.5115320689419639
MBQ9824173.1,MBQ3907881.1,0.5109628651442362
MBQ9824173.1,MBQ4399209.1,0.5108034880808724
KUH56655.1,MBR1821073.1,0.5102570524350539
MBR2529166.1,AAL09332.1,0.5102570524350538
MBO5520212.1,NLD52070.1,0.5102342842831447
MBO5520212.1,ALR87692.1,0.5098472257006899
MBR3673199.1,MBR1821073.1,0.5098016893968716
MBO6242946.1,WP_074650843.1,0.5097333849411443
MBO5520212.1,MBR1888293.1,0.5095967760296896
MBO5520212.1,MBP3802246.1,0.5089820359281437
MBQ6432612.1,MBR1821073.1,0.5082534550670522
MBQ7988874.1,MBR1821073.1,0.5077070194212334
MBP1530666.1,MBQ9664510.1,0.5076842512693245
MBQ9824173.1,CDW75235.1,0.507593178661688
MBO5632831.1,MBQ9824173.1,0.5072744245349604
NLD52070.1,MBP1530666.1,0.5072516563830514
MBQ9420135.1,MBR1821073.1,0.506978438560142
MBR2829755.1,MBP3802246.1,0.506978438560142
WP_074650843.1,MBO7618333.1,0.5069101341044147
MBO5587695.1,MBR1821073.1,0.5068418296486874
MBR1821073.1,WP_119239732.1,0.505703422053232
ASV60182.1,MBQ9048695.1,0.5056351175975046
ASV60182.1,MBR1513057.1,0.5055440449898682
MBR2829755.1,MBO5544287.1,0.505316363470777
MBO6242946.1,MBQ2506276.1,0.505316363470777
MBQ5411159.1,AAL09332.1,0.5048154641287766
MBP3802026.1,MBR1821073.1,0.5047243915211402
MBQ6036876.1,MBR3404888.1,0.5045877826096855
MBR1821073.1,CDW75235.1,0.5034152227863664
MBR2529166.1,MBP1530666.1,0.5032444616470482
MBO5520212.1,MBR5632077.1,0.5030850845836843
MBQ9048695.1,MBO5544287.1,0.5030395482798661
MBR1821073.1,MBO4295373.1,0.5020605177477744
MBP3801641.1,MBR1821073.1,0.5018783725325016
MBP1530666.1,MBQ6680592.1,0.5014002413424101
MBQ6564140.1,MBQ6173334.1,0.501354705038592
MBP5694010.1,MBR1821073.1,0.5013319368866828
QNM08892.1,MBQ6564140.1,0.500944878304228
MBR2829755.1,ASV60182.1,0.500944878304228
MBP3801907.1,MBR1821073.1,0.5008310375446824
MBO5632831.1,AAL09332.1,0.5006944286332278
MBO5520212.1,MBQ1489446.1,0.5004212108103185
MBO5605271.1,MBQ6564140.1,0.5001935292912273
